obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
G03,LGAP,10,3,900,773462,21s-20-30-38.txt,30,20,13,4159.0
FCFS,LGAP,10,3,900,494957,21s-20-30-39.txt,30,20,14,4082.0
RANDOM,LGAP,10,3,900,461180,21s-20-30-39.txt,30,20,12,3739.0
SOP,LGAP,10,3,900,545438,21s-20-30-39.txt,30,20,20,4735.0
G01,LGAP,10,3,900,488542,21s-20-30-39.txt,30,20,12,3730.0
G02,LGAP,10,3,900,532690,21s-20-30-39.txt,30,20,14,4017.0
G03,LGAP,10,3,900,785683,21s-20-30-39.txt,30,20,12,3756.0
FCFS,LGAP,10,3,900,474813,22s-20-45-0.txt,45,20,9,3351.0
RANDOM,LGAP,10,3,900,424356,22s-20-45-0.txt,45,20,8,3207.0
SOP,LGAP,10,3,900,615723,22s-20-45-0.txt,45,20,20,5256.0
G01,LGAP,10,3,900,474021,22s-20-45-0.txt,45,20,8,3147.0
G02,LGAP,10,3,900,483435,22s-20-45-0.txt,45,20,9,3402.0
G03,LGAP,10,3,900,1190314,22s-20-45-0.txt,45,20,9,3328.0
FCFS,LGAP,10,3,900,341418,22s-20-45-1.txt,45,20,7,2648.0
RANDOM,LGAP,10,3,900,323425,22s-20-45-1.txt,45,20,6,2490.0
SOP,LGAP,10,3,900,525917,22s-20-45-1.txt,45,20,20,4477.0
G01,LGAP,10,3,900,375010,22s-20-45-1.txt,45,20,6,2380.0
G02,LGAP,10,3,900,356837,22s-20-45-1.txt,45,20,6,2532.0
G03,LGAP,10,3,900,843157,22s-20-45-1.txt,45,20,6,2412.0
FCFS,LGAP,10,3,900,419054,22s-20-45-2.txt,45,20,8,3236.0
RANDOM,LGAP,10,3,900,396090,22s-20-45-2.txt,45,20,8,3184.0
SOP,LGAP,10,3,900,548868,22s-20-45-2.txt,45,20,20,5217.0
G01,LGAP,10,3,900,342488,22s-20-45-2.txt,45,20,8,3100.0
G02,LGAP,10,3,900,270939,22s-20-45-2.txt,45,20,9,3327.0
G03,LGAP,10,3,900,656226,22s-20-45-2.txt,45,20,8,3088.0
FCFS,LGAP,10,3,900,246236,22s-20-45-3.txt,45,20,8,2807.0
RANDOM,LGAP,10,3,900,219748,22s-20-45-3.txt,45,20,7,2692.0
SOP,LGAP,10,3,900,318508,22s-20-45-3.txt,45,20,20,4600.0
G01,LGAP,10,3,900,239005,22s-20-45-3.txt,45,20,7,2790.0
G02,LGAP,10,3,900,237270,22s-20-45-3.txt,45,20,8,3055.0
G03,LGAP,10,3,900,607846,22s-20-45-3.txt,45,20,7,2774.0
FCFS,LGAP,10,3,900,255379,22s-20-45-4.txt,45,20,8,3140.0
RANDOM,LGAP,10,3,900,236018,22s-20-45-4.txt,45,20,8,3176.0
SOP,LGAP,10,3,900,333334,22s-20-45-4.txt,45,20,20,5039.0
G01,LGAP,10,3,900,250417,22s-20-45-4.txt,45,20,7,2891.0
G02,LGAP,10,3,900,248334,22s-20-45-4.txt,45,20,8,3141.0
