obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
G01,SSHAPE,10,3,900,323108,21s-20-30-34.txt,30,20,11,3900.0
G02,SSHAPE,10,3,900,388156,21s-20-30-34.txt,30,20,14,4532.0
G03,SSHAPE,10,3,900,1133063,21s-20-30-34.txt,30,20,12,4124.0
FCFS,SSHAPE,10,3,900,343166,21s-20-30-35.txt,30,20,16,5336.0
RANDOM,SSHAPE,10,3,900,321932,21s-20-30-35.txt,30,20,14,5110.0
SOP,SSHAPE,10,3,900,321385,21s-20-30-35.txt,30,20,20,6070.0
G01,SSHAPE,10,3,900,380911,21s-20-30-35.txt,30,20,13,4720.0
G02,SSHAPE,10,3,900,382708,21s-20-30-35.txt,30,20,16,5446.0
G03,SSHAPE,10,3,900,943704,21s-20-30-35.txt,30,20,14,5008.0
FCFS,SSHAPE,10,3,900,333808,21s-20-30-36.txt,30,20,14,4558.0
RANDOM,SSHAPE,10,3,900,278496,21s-20-30-36.txt,30,20,13,4468.0
SOP,SSHAPE,10,3,900,307076,21s-20-30-36.txt,30,20,20,5720.0
G01,SSHAPE,10,3,900,341917,21s-20-30-36.txt,30,20,12,4182.0
G02,SSHAPE,10,3,900,343925,21s-20-30-36.txt,30,20,14,4614.0
G03,SSHAPE,10,3,900,1008598,21s-20-30-36.txt,30,20,12,4226.0
FCFS,SSHAPE,10,3,900,306445,21s-20-30-37.txt,30,20,14,4948.0
RANDOM,SSHAPE,10,3,900,271826,21s-20-30-37.txt,30,20,12,4368.0
SOP,SSHAPE,10,3,900,305311,21s-20-30-37.txt,30,20,20,5948.0
G01,SSHAPE,10,3,900,343692,21s-20-30-37.txt,30,20,11,4254.0
G02,SSHAPE,10,3,900,345341,21s-20-30-37.txt,30,20,14,4960.0
G03,SSHAPE,10,3,900,1081142,21s-20-30-37.txt,30,20,12,4266.0
FCFS,SSHAPE,10,3,900,375223,21s-20-30-38.txt,30,20,14,4796.0
RANDOM,SSHAPE,10,3,900,310646,21s-20-30-38.txt,30,20,13,4488.0
SOP,SSHAPE,10,3,900,314806,21s-20-30-38.txt,30,20,20,5886.0
G01,SSHAPE,10,3,900,370016,21s-20-30-38.txt,30,20,13,4632.0
G02,SSHAPE,10,3,900,359512,21s-20-30-38.txt,30,20,15,5016.0
G03,SSHAPE,10,3,900,1008897,21s-20-30-38.txt,30,20,13,4580.0
FCFS,SSHAPE,10,3,900,300568,21s-20-30-39.txt,30,20,14,4508.0
RANDOM,SSHAPE,10,3,900,261353,21s-20-30-39.txt,30,20,12,4118.0
SOP,SSHAPE,10,3,900,333188,21s-20-30-39.txt,30,20,20,5554.0
G01,SSHAPE,10,3,900,331868,21s-20-30-39.txt,30,20,12,4178.0
G02,SSHAPE,10,3,900,333077,21s-20-30-39.txt,30,20,14,4682.0
G03,SSHAPE,10,3,900,1053688,21s-20-30-39.txt,30,20,12,4050.0
FCFS,SSHAPE,10,3,900,381698,22s-20-45-0.txt,45,20,9,3594.0
RANDOM,SSHAPE,10,3,900,292360,22s-20-45-0.txt,45,20,8,3310.0
SOP,SSHAPE,10,3,900,320442,22s-20-45-0.txt,45,20,20,5882.0
G01,SSHAPE,10,3,900,377987,22s-20-45-0.txt,45,20,8,3174.0
G02,SSHAPE,10,3,900,377275,22s-20-45-0.txt,45,20,9,3518.0
G03,SSHAPE,10,3,900,2559035,22s-20-45-0.txt,45,20,9,3428.0
FCFS,SSHAPE,10,3,900,273269,22s-20-45-1.txt,45,20,7,2692.0
RANDOM,SSHAPE,10,3,900,223890,22s-20-45-1.txt,45,20,6,2440.0
SOP,SSHAPE,10,3,900,295372,22s-20-45-1.txt,45,20,20,5136.0
G01,SSHAPE,10,3,900,310460,22s-20-45-1.txt,45,20,6,2458.0
G02,SSHAPE,10,3,900,272098,22s-20-45-1.txt,45,20,6,2674.0
G03,SSHAPE,10,3,900,1790567,22s-20-45-1.txt,45,20,6,2312.0
FCFS,SSHAPE,10,3,900,337626,22s-20-45-2.txt,45,20,8,3230.0
RANDOM,SSHAPE,10,3,900,448132,22s-20-45-2.txt,45,20,8,3082.0
SOP,SSHAPE,10,3,900,316654,22s-20-45-2.txt,45,20,20,5576.0
G01,SSHAPE,10,3,900,638792,22s-20-45-2.txt,45,20,8,3100.0
G02,SSHAPE,10,3,900,645088,22s-20-45-2.txt,45,20,9,3300.0
G03,SSHAPE,10,3,900,2792222,22s-20-45-2.txt,45,20,8,3034.0
FCFS,SSHAPE,10,3,900,294547,22s-20-45-3.txt,45,20,8,2886.0
RANDOM,SSHAPE,10,3,900,277610,22s-20-45-3.txt,45,20,7,3030.0
SOP,SSHAPE,10,3,900,315489,22s-20-45-3.txt,45,20,20,5458.0
G01,SSHAPE,10,3,900,363375,22s-20-45-3.txt,45,20,7,2856.0
G02,SSHAPE,10,3,900,317401,22s-20-45-3.txt,45,20,8,3170.0
G03,SSHAPE,10,3,900,2170473,22s-20-45-3.txt,45,20,7,2806.0
FCFS,SSHAPE,10,3,900,504579,22s-20-45-4.txt,45,20,8,3314.0
RANDOM,SSHAPE,10,3,900,466359,22s-20-45-4.txt,45,20,8,3388.0
SOP,SSHAPE,10,3,900,536917,22s-20-45-4.txt,45,20,20,5842.0
G01,SSHAPE,10,3,900,468509,22s-20-45-4.txt,45,20,7,3034.0
G02,SSHAPE,10,3,900,327384,22s-20-45-4.txt,45,20,8,3280.0
G03,SSHAPE,10,3,900,2341802,22s-20-45-4.txt,45,20,8,3346.0
FCFS,SSHAPE,10,3,900,356865,22s-20-45-5.txt,45,20,11,4024.0
RANDOM,SSHAPE,10,3,900,432361,22s-20-45-5.txt,45,20,9,3538.0
SOP,SSHAPE,10,3,900,342827,22s-20-45-5.txt,45,20,20,6118.0
