obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
G02,SSHAPE,10,3,900,542357,21s-20-30-28.txt,30,20,13,4230.0
G03,SSHAPE,10,3,900,925455,21s-20-30-28.txt,30,20,11,3862.0
FCFS,SSHAPE,10,3,900,473344,21s-20-30-29.txt,30,20,12,4238.0
RANDOM,SSHAPE,10,3,900,477343,21s-20-30-29.txt,30,20,10,3760.0
SOP,SSHAPE,10,3,900,555503,21s-20-30-29.txt,30,20,20,5510.0
G01,SSHAPE,10,3,900,454963,21s-20-30-29.txt,30,20,9,3446.0
G02,SSHAPE,10,3,900,480765,21s-20-30-29.txt,30,20,12,4304.0
G03,SSHAPE,10,3,900,2357909,21s-20-30-29.txt,30,20,10,3740.0
FCFS,SSHAPE,10,3,900,425962,21s-20-30-30.txt,30,20,11,3672.0
RANDOM,SSHAPE,10,3,900,444011,21s-20-30-30.txt,30,20,10,3544.0
SOP,SSHAPE,10,3,900,539174,21s-20-30-30.txt,30,20,20,5264.0
G01,SSHAPE,10,3,900,519858,21s-20-30-30.txt,30,20,10,3530.0
G02,SSHAPE,10,3,900,535379,21s-20-30-30.txt,30,20,13,4328.0
G03,SSHAPE,10,3,900,1457339,21s-20-30-30.txt,30,20,11,3848.0
FCFS,SSHAPE,10,3,900,530620,21s-20-30-31.txt,30,20,15,4726.0
RANDOM,SSHAPE,10,3,900,497689,21s-20-30-31.txt,30,20,13,4304.0
SOP,SSHAPE,10,3,900,541547,21s-20-30-31.txt,30,20,20,5608.0
G01,SSHAPE,10,3,900,530585,21s-20-30-31.txt,30,20,12,4022.0
G02,SSHAPE,10,3,900,589908,21s-20-30-31.txt,30,20,14,4596.0
G03,SSHAPE,10,3,900,1411190,21s-20-30-31.txt,30,20,12,4112.0
FCFS,SSHAPE,10,3,900,497884,21s-20-30-32.txt,30,20,12,4250.0
RANDOM,SSHAPE,10,3,900,499633,21s-20-30-32.txt,30,20,12,4360.0
SOP,SSHAPE,10,3,900,592382,21s-20-30-32.txt,30,20,20,5742.0
