obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance,type_experiment
G02,LGAP,10,3,900,736446,1l-20-30-12.txt,30,20,14,4167,WITH_ENCAPSULATION
G03,LGAP,10,3,900,933029,1l-20-30-12.txt,30,20,11,3626,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,679620,1l-20-30-13.txt,30,20,14,4278,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,606549,1l-20-30-13.txt,30,20,12,4106,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,775552,1l-20-30-13.txt,30,20,20,5214,WITH_ENCAPSULATION
G01,LGAP,10,3,900,684674,1l-20-30-13.txt,30,20,12,4054,WITH_ENCAPSULATION
G02,LGAP,10,3,900,711627,1l-20-30-13.txt,30,20,15,4640,WITH_ENCAPSULATION
G03,LGAP,10,3,900,916781,1l-20-30-13.txt,30,20,12,4074,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,709381,1l-20-30-14.txt,30,20,16,4501,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,712451,1l-20-30-14.txt,30,20,13,4060,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,809387,1l-20-30-14.txt,30,20,20,4865,WITH_ENCAPSULATION
G01,LGAP,10,3,900,698234,1l-20-30-14.txt,30,20,12,3964,WITH_ENCAPSULATION
G02,LGAP,10,3,900,740168,1l-20-30-14.txt,30,20,15,4395,WITH_ENCAPSULATION
G03,LGAP,10,3,900,918330,1l-20-30-14.txt,30,20,12,3954,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,511074,1l-20-30-15.txt,30,20,11,3739,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,487969,1l-20-30-15.txt,30,20,10,3506,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,710287,1l-20-30-15.txt,30,20,20,4645,WITH_ENCAPSULATION
G01,LGAP,10,3,900,543969,1l-20-30-15.txt,30,20,10,3453,WITH_ENCAPSULATION
G02,LGAP,10,3,900,576361,1l-20-30-15.txt,30,20,12,3826,WITH_ENCAPSULATION
G03,LGAP,10,3,900,911051,1l-20-30-15.txt,30,20,10,3500,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,571786,1l-20-30-16.txt,30,20,13,4013,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,519348,1l-20-30-16.txt,30,20,11,3815,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,736709,1l-20-30-16.txt,30,20,20,5051,WITH_ENCAPSULATION
G01,LGAP,10,3,900,546835,1l-20-30-16.txt,30,20,10,3741,WITH_ENCAPSULATION
G02,LGAP,10,3,900,605230,1l-20-30-16.txt,30,20,13,4191,WITH_ENCAPSULATION
G03,LGAP,10,3,900,887898,1l-20-30-16.txt,30,20,12,3891,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,552878,1l-20-30-17.txt,30,20,13,3822,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,531522,1l-20-30-17.txt,30,20,11,3676,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,745771,1l-20-30-17.txt,30,20,20,4686,WITH_ENCAPSULATION
G01,LGAP,10,3,900,576705,1l-20-30-17.txt,30,20,10,3460,WITH_ENCAPSULATION
G02,LGAP,10,3,900,608334,1l-20-30-17.txt,30,20,13,3902,WITH_ENCAPSULATION
G03,LGAP,10,3,900,871093,1l-20-30-17.txt,30,20,11,3716,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,632798,1l-20-30-18.txt,30,20,15,4297,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,585404,1l-20-30-18.txt,30,20,13,4059,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,749357,1l-20-30-18.txt,30,20,20,5013,WITH_ENCAPSULATION
G01,LGAP,10,3,900,640847,1l-20-30-18.txt,30,20,12,3905,WITH_ENCAPSULATION
G02,LGAP,10,3,900,712225,1l-20-30-18.txt,30,20,15,4383,WITH_ENCAPSULATION
G03,LGAP,10,3,900,905583,1l-20-30-18.txt,30,20,12,3855,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,523425,1l-20-30-19.txt,30,20,11,3338,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,483552,1l-20-30-19.txt,30,20,10,3103,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,706400,1l-20-30-19.txt,30,20,20,4399,WITH_ENCAPSULATION
G01,LGAP,10,3,900,522222,1l-20-30-19.txt,30,20,9,3059,WITH_ENCAPSULATION
G02,LGAP,10,3,900,559731,1l-20-30-19.txt,30,20,12,3412,WITH_ENCAPSULATION
G03,LGAP,10,3,900,916493,1l-20-30-19.txt,30,20,10,3188,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,582130,1l-20-30-20.txt,30,20,13,3706,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,497074,1l-20-30-20.txt,30,20,10,3402,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,727879,1l-20-30-20.txt,30,20,20,4569,WITH_ENCAPSULATION
G01,LGAP,10,3,900,521155,1l-20-30-20.txt,30,20,10,3245,WITH_ENCAPSULATION
G02,LGAP,10,3,900,596509,1l-20-30-20.txt,30,20,12,3681,WITH_ENCAPSULATION
G03,LGAP,10,3,900,900653,1l-20-30-20.txt,30,20,10,3352,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,607601,1l-20-30-21.txt,30,20,14,4658,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,549927,1l-20-30-21.txt,30,20,12,4123,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,733474,1l-20-30-21.txt,30,20,20,5511,WITH_ENCAPSULATION
G01,LGAP,10,3,900,597805,1l-20-30-21.txt,30,20,11,4023,WITH_ENCAPSULATION
G02,LGAP,10,3,900,645154,1l-20-30-21.txt,30,20,14,4672,WITH_ENCAPSULATION
G03,LGAP,10,3,900,956796,1l-20-30-21.txt,30,20,13,4396,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,542935,1l-20-30-22.txt,30,20,12,3882,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,486690,1l-20-30-22.txt,30,20,11,3696,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,663901,1l-20-30-22.txt,30,20,20,4788,WITH_ENCAPSULATION
G01,LGAP,10,3,900,548700,1l-20-30-22.txt,30,20,10,3378,WITH_ENCAPSULATION
G02,LGAP,10,3,900,545499,1l-20-30-22.txt,30,20,12,3832,WITH_ENCAPSULATION
G03,LGAP,10,3,900,860065,1l-20-30-22.txt,30,20,10,3428,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,719162,1l-20-30-23.txt,30,20,16,5205,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,680776,1l-20-30-23.txt,30,20,15,5033,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,742579,1l-20-30-23.txt,30,20,20,5734,WITH_ENCAPSULATION
G01,LGAP,10,3,900,740873,1l-20-30-23.txt,30,20,15,4989,WITH_ENCAPSULATION
G02,LGAP,10,3,900,780765,1l-20-30-23.txt,30,20,17,5386,WITH_ENCAPSULATION
G03,LGAP,10,3,900,980300,1l-20-30-23.txt,30,20,16,5122,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,412111,1l-20-30-24.txt,30,20,9,3064,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,379691,1l-20-30-24.txt,30,20,8,2887,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,639840,1l-20-30-24.txt,30,20,20,4134,WITH_ENCAPSULATION
G01,LGAP,10,3,900,416205,1l-20-30-24.txt,30,20,8,2892,WITH_ENCAPSULATION
G02,LGAP,10,3,900,410190,1l-20-30-24.txt,30,20,9,3091,WITH_ENCAPSULATION
G03,LGAP,10,3,900,808880,1l-20-30-24.txt,30,20,8,2857,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,620718,1l-20-30-25.txt,30,20,14,4356,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,582564,1l-20-30-25.txt,30,20,13,4179,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,729131,1l-20-30-25.txt,30,20,20,5101,WITH_ENCAPSULATION
G01,LGAP,10,3,900,651586,1l-20-30-25.txt,30,20,12,4089,WITH_ENCAPSULATION
G02,LGAP,10,3,900,655491,1l-20-30-25.txt,30,20,14,4445,WITH_ENCAPSULATION
