obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance,type_experiment
RANDOM,LGAP,LS_1x1,10,3,900,709910,21s-20-30-27.txt,30,20,12,3820,12,3820,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3246202,21s-20-30-27.txt,30,20,11,3715,11,3715,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,994210,21s-20-30-27.txt,30,20,12,3863,12,3863,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2596351,21s-20-30-28.txt,30,20,12,3701,12,3701,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,455303,21s-20-30-28.txt,30,20,12,3695,12,3695,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3970517,21s-20-30-28.txt,30,20,12,3693,12,3693,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2260372,21s-20-30-28.txt,30,20,11,3608,11,3608,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1488542,21s-20-30-29.txt,30,20,10,3371,10,3371,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,533104,21s-20-30-29.txt,30,20,10,3538,10,3538,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2492638,21s-20-30-29.txt,30,20,10,3553,10,3553,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2713864,21s-20-30-29.txt,30,20,10,3455,10,3455,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1200865,21s-20-30-30.txt,30,20,10,3360,10,3360,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,876141,21s-20-30-30.txt,30,20,11,3537,11,3537,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3313163,21s-20-30-30.txt,30,20,11,3613,11,3574,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,1838792,21s-20-30-30.txt,30,20,11,3611,11,3611,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2480243,21s-20-30-31.txt,30,20,12,3862,12,3862,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,835852,21s-20-30-31.txt,30,20,13,4110,13,4050,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3865729,21s-20-30-31.txt,30,20,14,4176,14,4176,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,1005652,21s-20-30-31.txt,30,20,13,4040,13,4040,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2369419,21s-20-30-32.txt,30,20,12,4006,12,3946,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,463912,21s-20-30-32.txt,30,20,12,4008,12,3960,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3079904,21s-20-30-32.txt,30,20,12,3948,12,3948,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4985515,21s-20-30-32.txt,30,20,12,4043,12,4043,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2381500,21s-20-30-33.txt,30,20,12,3969,12,3969,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,656595,21s-20-30-33.txt,30,20,12,3966,12,3966,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3869159,21s-20-30-33.txt,30,20,12,3933,12,3871,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,3801690,21s-20-30-33.txt,30,20,12,3832,12,3832,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,951651,21s-20-30-34.txt,30,20,11,3703,11,3703,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,944361,21s-20-30-34.txt,30,20,13,4032,13,4032,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3325084,21s-20-30-34.txt,30,20,13,4015,13,3955,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4284335,21s-20-30-34.txt,30,20,12,3843,12,3843,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1905949,21s-20-30-35.txt,30,20,14,4610,14,4610,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,710864,21s-20-30-35.txt,30,20,14,4666,14,4666,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2427935,21s-20-30-35.txt,30,20,15,4703,15,4703,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4190804,21s-20-30-35.txt,30,20,13,4412,13,4412,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1838571,21s-20-30-36.txt,30,20,12,3891,12,3891,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,870508,21s-20-30-36.txt,30,20,13,4055,13,4021,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,4208318,21s-20-30-36.txt,30,20,13,4104,13,4061,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,1054099,21s-20-30-36.txt,30,20,13,4002,13,4002,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,965735,21s-20-30-37.txt,30,20,12,4242,12,4242,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,657304,21s-20-30-37.txt,30,20,12,4260,12,4260,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2115525,21s-20-30-37.txt,30,20,12,4320,12,4320,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2945733,21s-20-30-37.txt,30,20,12,4360,12,4360,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1875994,21s-20-30-38.txt,30,20,13,4147,13,4147,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,761556,21s-20-30-38.txt,30,20,13,4226,13,4116,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,5188595,21s-20-30-38.txt,30,20,13,4128,13,4128,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2582861,21s-20-30-38.txt,30,20,13,4234,13,4234,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,3307152,21s-20-30-39.txt,30,20,13,3860,13,3860,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,973116,21s-20-30-39.txt,30,20,13,3884,13,3884,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,4048262,21s-20-30-39.txt,30,20,12,3802,12,3738,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2901555,21s-20-30-39.txt,30,20,12,3707,12,3707,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2489514,22s-20-45-0.txt,45,20,9,3403,9,3381,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,874607,22s-20-45-0.txt,45,20,8,3146,8,3100,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3343838,22s-20-45-0.txt,45,20,9,3437,9,3364,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,5348576,22s-20-45-0.txt,45,20,8,3237,8,3237,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1284811,22s-20-45-1.txt,45,20,6,2462,6,2462,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,518701,22s-20-45-1.txt,45,20,6,2411,6,2411,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1474831,22s-20-45-1.txt,45,20,6,2440,6,2352,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2227227,22s-20-45-1.txt,45,20,6,2448,6,2352,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1748915,22s-20-45-2.txt,45,20,8,3192,8,3192,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,977146,22s-20-45-2.txt,45,20,8,3050,8,3050,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2859930,22s-20-45-2.txt,45,20,8,3198,8,3032,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2318711,22s-20-45-2.txt,45,20,8,3272,8,3172,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1676022,22s-20-45-3.txt,45,20,7,2696,7,2696,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,480987,22s-20-45-3.txt,45,20,7,2713,7,2713,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1609120,22s-20-45-3.txt,45,20,7,2732,7,2720,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,768555,22s-20-45-3.txt,45,20,7,2672,7,2648,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2337780,22s-20-45-4.txt,45,20,8,3144,8,3144,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,633477,22s-20-45-4.txt,45,20,8,3086,8,3086,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1681497,22s-20-45-4.txt,45,20,7,2966,7,2879,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2382412,22s-20-45-4.txt,45,20,8,3144,8,3144,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,832345,22s-20-45-5.txt,45,20,9,3514,9,3514,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,1008378,22s-20-45-5.txt,45,20,9,3362,9,3362,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1591858,22s-20-45-5.txt,45,20,9,3500,9,3450,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,8192812,22s-20-45-5.txt,45,20,9,3470,9,3470,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1325079,22s-20-45-6.txt,45,20,7,3004,7,3004,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,574577,22s-20-45-6.txt,45,20,7,2990,7,2990,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1451892,22s-20-45-6.txt,45,20,7,2956,7,2914,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2669788,22s-20-45-6.txt,45,20,7,2992,7,2947,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,946655,22s-20-45-7.txt,45,20,6,2438,6,2438,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,619490,22s-20-45-7.txt,45,20,6,2470,6,2470,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2120542,22s-20-45-7.txt,45,20,7,2672,7,2564,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,1837625,22s-20-45-7.txt,45,20,6,2424,6,2424,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1081175,22s-20-45-8.txt,45,20,8,3204,8,3204,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,541349,22s-20-45-8.txt,45,20,8,3202,8,3202,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1671020,22s-20-45-8.txt,45,20,8,3341,8,3205,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4991931,22s-20-45-8.txt,45,20,8,3298,8,3298,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1704477,22s-20-45-9.txt,45,20,7,2768,7,2768,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,635261,22s-20-45-9.txt,45,20,7,3006,7,3006,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1735790,22s-20-45-9.txt,45,20,7,2938,7,2932,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,1657082,22s-20-45-9.txt,45,20,7,2908,7,2908,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1698267,22s-20-45-10.txt,45,20,7,2902,7,2902,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,554408,22s-20-45-10.txt,45,20,7,2958,7,2930,WITH_ENCAPSULATION
